cell_line,doubling_time_hr,depmap_id,source
A549,18,ACH-000681,https://web.expasy.org/cellosaurus/CVCL_0023
A549,37,ACH-000681,https://web.expasy.org/cellosaurus/CVCL_0023
A549,36,ACH-000681,https://web.expasy.org/cellosaurus/CVCL_0023
A549,27,ACH-000681,https://web.expasy.org/cellosaurus/CVCL_0023
A549,22,ACH-000681,https://web.expasy.org/cellosaurus/CVCL_0023
A549,23.9,ACH-000681,https://web.expasy.org/cellosaurus/CVCL_0023
A549,27,ACH-000681,https://web.expasy.org/cellosaurus/CVCL_0023
A549,27,ACH-000681,https://web.expasy.org/cellosaurus/CVCL_0023
A549,22.9,ACH-000681,https://web.expasy.org/cellosaurus/CVCL_0023
A549,28,ACH-000681,https://web.expasy.org/cellosaurus/CVCL_0023
A549,40,ACH-000681,https://web.expasy.org/cellosaurus/CVCL_0023
AN3-CA,47.5,ACH-000940,https://web.expasy.org/cellosaurus/CVCL_0028
AN3-CA,55,ACH-000940,https://web.expasy.org/cellosaurus/CVCL_0028
CAPAN-2,96,ACH-000107,https://web.expasy.org/cellosaurus/CVCL_0026
CAPAN-2,52.5,ACH-000107,https://web.expasy.org/cellosaurus/CVCL_0026
CAPAN-2,60,ACH-000107,https://web.expasy.org/cellosaurus/CVCL_0026
Daudi,23.7,ACH-000786,https://web.expasy.org/cellosaurus/CVCL_0008
Daudi,48,ACH-000786,https://web.expasy.org/cellosaurus/CVCL_0008
EFO-21,42,ACH-000308,https://web.expasy.org/cellosaurus/CVCL_0029
EFO-21,50,ACH-000308,https://web.expasy.org/cellosaurus/CVCL_0029
EFO-21,43.71,ACH-000308,https://web.expasy.org/cellosaurus/CVCL_0029
HDLM-2,72.5,ACH-000267,https://web.expasy.org/cellosaurus/CVCL_0009
HL-60,16,ACH-000002,https://web.expasy.org/cellosaurus/CVCL_0002
HL-60,28,ACH-000002,https://web.expasy.org/cellosaurus/CVCL_0002
HL-60,40,ACH-000002,https://web.expasy.org/cellosaurus/CVCL_0002
HeLa,31.2,ACH-001086,https://web.expasy.org/cellosaurus/CVCL_0030
HeLa,48,ACH-001086,https://web.expasy.org/cellosaurus/CVCL_0030
K-562,47,ACH-000551,https://web.expasy.org/cellosaurus/CVCL_0004
K-562,19.6,ACH-000551,https://web.expasy.org/cellosaurus/CVCL_0004
K-562,35,ACH-000551,https://web.expasy.org/cellosaurus/CVCL_0004
MCF7,43.2,ACH-000019,https://web.expasy.org/cellosaurus/CVCL_0031
MCF7,80,ACH-000019,https://web.expasy.org/cellosaurus/CVCL_0031
MCF7,31.2,ACH-000019,https://web.expasy.org/cellosaurus/CVCL_0031
MCF7,25.3,ACH-000019,https://web.expasy.org/cellosaurus/CVCL_0031
MCF7,24.4,ACH-000019,https://web.expasy.org/cellosaurus/CVCL_0031
MCF7,25.4,ACH-000019,https://web.expasy.org/cellosaurus/CVCL_0031
MCF7,50,ACH-000019,https://web.expasy.org/cellosaurus/CVCL_0031
MCF7,38,ACH-000019,https://web.expasy.org/cellosaurus/CVCL_0031
MCF7,56.47,ACH-000019,https://web.expasy.org/cellosaurus/CVCL_0031
MOLT-4,31.56,ACH-001127,https://web.expasy.org/cellosaurus/CVCL_0013
MOLT-4,33,ACH-001127,https://web.expasy.org/cellosaurus/CVCL_0013
MOLT-4,29,ACH-001127,https://web.expasy.org/cellosaurus/CVCL_0013
MOLT-4,27.9,ACH-001127,https://web.expasy.org/cellosaurus/CVCL_0013
MOLT-4,40,ACH-001127,https://web.expasy.org/cellosaurus/CVCL_0013
MOLT-4,36,ACH-001127,https://web.expasy.org/cellosaurus/CVCL_0013
PC-3,25.34,ACH-000090,https://web.expasy.org/cellosaurus/CVCL_0035
PC-3,27.1,ACH-000090,https://web.expasy.org/cellosaurus/CVCL_0035
PC-3,25,ACH-000090,https://web.expasy.org/cellosaurus/CVCL_0035
PC-3,50,ACH-000090,https://web.expasy.org/cellosaurus/CVCL_0035
PC-3,25,ACH-000090,https://web.expasy.org/cellosaurus/CVCL_0035
PC-3,40,ACH-000090,https://web.expasy.org/cellosaurus/CVCL_0035
REH,34.7,ACH-000960,https://web.expasy.org/cellosaurus/CVCL_1650
REH,30,ACH-000960,https://web.expasy.org/cellosaurus/CVCL_1650
REH,60,ACH-000960,https://web.expasy.org/cellosaurus/CVCL_1650
RPMI-8226,60,ACH-000817,https://web.expasy.org/cellosaurus/CVCL_0014
RPMI-8226,33.5,ACH-000817,https://web.expasy.org/cellosaurus/CVCL_0014
RPMI-8226,65,ACH-000817,https://web.expasy.org/cellosaurus/CVCL_0014
RT4,37,ACH-000242,https://web.expasy.org/cellosaurus/CVCL_0036
RT4,65.8,ACH-000242,https://web.expasy.org/cellosaurus/CVCL_0036
RT4,80,ACH-000242,https://web.expasy.org/cellosaurus/CVCL_0036
SiHa,62.4,ACH-000556,https://web.expasy.org/cellosaurus/CVCL_0032
THP-1,65,ACH-000146,https://web.expasy.org/cellosaurus/CVCL_0006
THP-1,26,ACH-000146,https://web.expasy.org/cellosaurus/CVCL_0006
THP-1,42.5,ACH-000146,https://web.expasy.org/cellosaurus/CVCL_0006
WM-115,45.6,ACH-000304,https://doi.org/10.1111/j.1582-4934.2001.tb00175.x
WM-115,30.5,ACH-000304,https://doi.org/10.1111/j.1582-4934.2001.tb00175.x